Product,Product_Type
Radiagreen Eme (7858),Lubricant
Resinbond Cement (Pail),Cementing Chemical
Rubber Crumb Fine (20),Lost Circulation Material 
Rubber Crumb Medium (10-20),Lost Circulation Material 
Safe-T-Coat,Corrosion Inhibitor
Safe-T-Coat Max,Corrosion Inhibitor
Saf-Kote,Corrosion Inhibitor
Salt,Shale Inhibitor
Salt - Fine,Shale Inhibitor
Salt Coarse #8,Shale Inhibitor
Salt Colored,Shale Inhibitor
Salt Fine,Shale Inhibitor
Salt Gel (Atapulgite),Viscosifiers
Sand 10-20 Silica,Cementing Chemical
Sapp,Thinners/Dispersant
Sawdust,Lost Circulation Material 
Sawdust (Bag),Lost Circulation Material 
Sawdust (Via Cdp),Lost Circulation Material 
Sea Mud,Viscosifiers
Sea Mud (Sepiolite),Viscosifiers
Shure Shale,Shale Inhibitor
Silica Fume Densified,Cementing Chemical
"Silica Fume, Undens.",Cementing Chemical
Slurry Master,Cementing Chemical
Soap Stick Fs-16,Surfactant
Soap Sticks-Enviro Spud Stix,Surfactant
Sod. Hypochlorite Bleach,Alkalinity Control
Sod. Sulfite-Catalyzed,Corrosion Inhibitor
Soda Ash,Alkalinity Control
Soda Ash Plastic Bag,Alkalinity Control
Sodium Bicarbonate,Alkalinity Control
Sodium Metasilicate Sms,Cementing Chemical
Sodium Sulphate,Cementing Chemical
Sodium Sulphite,Corrosion Inhibitor
Soltex,Shale Inhibitor
Spectra,Lost Circulation Material 
Spectra HD,Lost Circulation Material 
Spectra V,Lost Circulation Material 
Ssw-907,H2S Scavenger
Staflo,Filtrate Reducer
Staflo Exlo Supreme,Filtrate Reducer
Staflo Regular,Filtrate Reducer
Starch,Filtrate Reducer
Stardril,Filtrate Reducer
Sulphamic Acid,Alkalinity Control
Sun Sweep (Pail),Lost Circulation Material 
Sunburst Dp,Lubricant
Super Sweep,Lost Circulation Material 
Super Sweep (Box) Monofiliment Fibre,Lost Circulation Material 
Supersaul 3,Solvent
Super-Sweep Fiber,Lost Circulation Material 
Supervis Gx,Viscosifiers
Syncura,Polymer Breaker
T-2001,Demulsifier
T-2508,Demulsifier
T-352 Biocide,Bactericides
T-352 Glutaraldehyde,Bactericides
Terminox,Corrosion Inhibitor
Thermal 40 Cement,Cementing Chemical
Tkpp,Thinners/Dispersant
Torkease Concentrate,Lubricant
Torq-Glide,Lubricant
Ufr-100,Lubricant
Ultra Link,Lost Circulation Material 
Ultra Linker,Lost Circulation Material 
Ultra Premium Organ Clay (M & D Industries),Viscosifiers
Ultra Seal Premium Organo Clay,Viscosifiers
Ultra Seal Coarse,Lost Circulation Material 
Ultra Seal Plus,Lost Circulation Material 
